AREA,pop_2015,pop_growth,road_motorway,road_asphalt,road_others,CO2_2022,CO2_recent_growth,built_2015,green_2014,GDP_2015,GDP_growth,heatwave,distance_sea,y_pred_dec,ID_HDC_G0,PCA1,PCA2
68.0,249632.318,2.468335747552364,0.0,991533.4597,12451.0478,181721.7236328125,2.6926001084868947,20.51037788,0.213628653,2613987072.0,2.2228537993178143,5.530169964,3989.9510208249385,4,52,3.1550007,-0.45063734
24.0,108084.7888,7.455271913769379,0.0,388918.1096,14351.9505,50574.302978515625,2.6925982668377624,13.45333481,0.299346518,1159649920.0,6.814386334980815,7.978159904,4496.680982286377,0,53,-4.5503683,0.25147533
42.0,65263.50793,1.6830273120849617,12709.6325,479838.9272,4199.0648,61093.47900390625,-0.8065472349072359,26.00123978,0.184925337,1865222528.0,2.336445136324805,7.575520039,113988.3765442372,4,54,3.0816488,-1.8304114
29.0,58254.33893,1.7195357764012489,5706.9541,396900.0929000001,17905.9319,58175.43212890625,-0.8151648595868013,21.36950111,0.346923476,1735668992.0,2.428269593145882,8.143170357,113404.2390559629,4,55,1.9050322,-1.5702627
292.0,350694.5893,3.4365403781354558,17413.7989,3605132.7527,72773.4277,589127.05859375,-0.806568437818469,207.3380127,0.352889221,12877157376.0,4.095399817753975,7.199679852,124546.09912338508,2,56,42.486713,-0.58876705
49.0,85126.8354,0.6793586148895914,31423.3616,684640.7736999999,7438.3733,62598.69189453125,-0.8065458287583638,37.02557755,0.459474909,2754275072.0,1.3473042750031583,6.804830074,179652.09419768446,4,58,4.5147715,-2.893902
66.0,195368.3031,2.222631238300377,0.0,1267359.839,21926.3748,245200.82421875,2.49589926320418,43.86354446,0.168700702,2224414208.0,1.9373864245576744,6.538499832,70528.12363222425,4,59,7.7429047,0.04834938
39.0,78222.81824,1.9369177076417052,218.2908,598181.4612,37986.9103,90876.60595703124,-0.8065839623792352,27.8704052,0.234351156,2377457664.0,2.868615904255756,8.287739754,98109.74066246512,4,60,3.9117165,-1.3140349
25.0,66491.71027,4.689213121282387,0.0,470139.566,9274.4317,44764.7119140625,2.6925997761168814,12.76083755,0.161514885,736466816.0,4.719929706350889,4.56359005,2550.4919313322366,0,61,-3.1611843,0.56997156
39.0,118271.5113,1.8668524699801288,0.0,421740.50360000005,6886.1636,79323.3193359375,2.6926006627364245,9.619956017,0.235074442,1440567296.0,2.1066838371270658,14.07180023,1857.2955128520975,3,62,-0.16245937,-0.5633793
51.0,270920.1548,1.0916878242138273,1045.4128,1004219.335,43650.1418,174785.49609375,2.692599995684236,32.25462723,0.294435187,2586162176.0,2.185995353855174,13.47539997,13061.159280959211,4,63,4.30217,-0.8581524
18.0,60896.30591,2.6303157108482638,0.0,282965.5227,6017.2583,43728.681884765625,2.736110257212814,6.817203999,0.169472832,725048960.0,2.387072052541339,2.877160072,85950.71916177888,3,64,-1.3599792,0.8980541
65.0,328658.3236,1.4033685031057397,0.0,1063628.8754,35315.0932,181074.955078125,2.692599994092741,40.84877014,0.250775607,3520429312.0,1.292611433316182,5.392039776,40345.93352324493,4,66,6.385206,-0.5901389
138.0,235606.7919,2.0717773288739805,114634.8239,2351282.5135000004,103173.9265,341093.318359375,-0.8065466655584195,99.03025055,0.293968936,7282853888.0,2.320046007626675,7.75440979,263790.07733095,2,67,14.275064,-6.7611628
28.0,109738.4163,1.4312232477742937,0.0,495309.9022,14958.3576,51656.20947265625,2.6925997983733208,18.22566414,0.280690534,1255470848.0,1.7154058292805363,5.580580235,36173.975409952014,4,68,1.9973764,-0.7156031
70.0,91010.15165,1.0445809376073756,44469.935,842043.7402,24659.0336,109975.52490234376,-0.8065458311798799,48.87189865,0.425541032,2364281344.0,1.672216711099428,8.898209572,151402.68260532047,4,69,4.4619465,-3.986915
22.0,80997.10284,0.810477617173766,8012.697999999999,331457.1398,15594.1254,33443.509521484375,2.692599963409508,8.553078651,0.323407162,869359552.0,1.9954283881930213,12.58990002,23662.287240551792,3,70,-0.16597843,-0.6724508
17.0,61923.17773,0.3026810547636982,0.0,312803.4403,7462.077999999999,24425.56005859375,2.692599725139936,6.387597561,0.334871266,398569440.0,1.6488634258392088,8.509030342,33129.47051446883,3,71,1.128582,1.6656046
54.0,50238.33076,2.483154555665701,0.0,565926.1196000001,7729.7281,42326.7548828125,-0.8065464239790904,37.54618454,0.117430911,1391219328.0,3.4140103254857834,7.180140018,301271.1874621916,4,72,4.374031,-1.3485723
49.0,241188.036,2.702516661084986,0.0,683111.0944000001,22306.8312,94979.3466796875,2.6925999715252766,23.85658455,0.452463224,2312357632.0,3.209899824172746,13.50160027,2172.491827043528,0,76,-0.88012314,-1.7996902
51.0,248388.4915,2.295533413066253,8598.993900000001,747339.5995,29036.3422,134753.5888671875,2.5049016389588745,24.03538513,0.249983969,2949188864.0,2.1418265065909603,6.40926981,235105.74978763668,4,78,0.49245262,-2.6511846
18.0,98217.29431,2.398841695561571,0.0,280793.9769,13165.6401,15436.4697265625,2.692600074513762,9.657191277,0.425144448,987757248.0,2.4110965297845954,14.8689003,10486.854644273126,0,80,-2.0238647,0.43760872
62.0,383493.9258,2.18742037471138,31843.5554,1058480.3627,34437.7838,172400.7392578125,2.6926003939921275,35.60367203,0.343118556,2847733504.0,3.150948367747808,7.685050011,34796.10218411557,0,81,-0.24033737,-4.2410483
147.0,219332.8249,0.7402366593636245,113606.964,2102835.9748,29373.0408,171992.525390625,-0.8069385198015206,103.8839264,0.45199236,5501405696.0,1.3866168694332437,4.539030075,115711.96136151934,2,82,14.005087,-5.971344
56.0,290690.9121,2.507760576192464,8445.3977,1133688.7733,12692.0528,136932.4521484375,2.6926003761092026,30.73760986,0.376550266,2968578304.0,3.029428555306768,9.966170311,50908.488732375146,4,83,2.754424,-1.8228681
28.0,58384.79269,7.545764549619971,0.0,276344.5354,2214.5032,13789.10009765625,-0.8065465629365318,15.68548393,0.25403964,1461611648.0,8.983351131421324,7.864920139,277497.54361975467,0,85,-4.6983595,-0.46866512
17.0,99014.10645,0.6036604781780364,0.0,271488.109,6059.2158,26103.911743164062,2.6925999895678334,9.11992836,0.331555145,729996672.0,1.1072874796832943,9.966170311,108635.89569013068,3,86,0.3620081,0.7010379
